#options: 720x1566 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=16 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=270 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:92 out:89 type:P dur:2 cpbdur:2 q:35.23 aq:26.80 tex:15585 mv:2075 misc:2020 imb:61 pmb:427 smb:3922 d:t ref:0 ;
in:90 out:90 type:B dur:2 cpbdur:2 q:35.50 aq:31.34 tex:178 mv:208 misc:430 imb:0 pmb:30 smb:4380 d:t ref:0 ;
in:89 out:91 type:b dur:2 cpbdur:2 q:35.64 aq:24.78 tex:29 mv:138 misc:385 imb:1 pmb:24 smb:4385 d:s ref:0 ;
in:91 out:92 type:b dur:2 cpbdur:2 q:35.37 aq:24.72 tex:22 mv:46 misc:284 imb:0 pmb:6 smb:4404 d:- ref:0 ;
in:96 out:93 type:P dur:2 cpbdur:2 q:35.58 aq:25.25 tex:3876 mv:1498 misc:1066 imb:33 pmb:165 smb:4212 d:t ref:0 ;
in:94 out:94 type:B dur:2 cpbdur:2 q:35.40 aq:29.49 tex:129 mv:444 misc:507 imb:0 pmb:52 smb:4358 d:t ref:0 ;
in:93 out:95 type:b dur:2 cpbdur:2 q:35.32 aq:23.78 tex:33 mv:249 misc:414 imb:0 pmb:29 smb:4381 d:s ref:0 ;
in:95 out:96 type:b dur:2 cpbdur:2 q:35.49 aq:24.72 tex:27 mv:164 misc:329 imb:0 pmb:15 smb:4395 d:- ref:0 ;
in:100 out:97 type:P dur:2 cpbdur:2 q:36.11 aq:30.53 tex:5844 mv:1706 misc:858 imb:43 pmb:144 smb:4223 d:t ref:0 ;
in:98 out:98 type:B dur:2 cpbdur:2 q:35.84 aq:23.78 tex:35 mv:275 misc:466 imb:0 pmb:47 smb:4363 d:t ref:0 ;
in:97 out:99 type:b dur:2 cpbdur:2 q:35.71 aq:24.78 tex:36 mv:346 misc:442 imb:0 pmb:50 smb:4360 d:s ref:0 ;
in:99 out:100 type:b dur:2 cpbdur:2 q:35.98 aq:25.00 tex:8 mv:256 misc:392 imb:0 pmb:28 smb:4382 d:- ref:0 ;
in:104 out:101 type:P dur:2 cpbdur:2 q:36.79 aq:29.66 tex:2493 mv:1266 misc:833 imb:31 pmb:125 smb:4254 d:t ref:0 ;
in:102 out:102 type:B dur:2 cpbdur:2 q:36.45 aq:33.51 tex:164 mv:204 misc:432 imb:1 pmb:28 smb:4381 d:t ref:0 ;
in:101 out:103 type:b dur:2 cpbdur:2 q:36.28 aq:25.00 tex:4 mv:87 misc:349 imb:0 pmb:17 smb:4393 d:s ref:0 ;
in:103 out:104 type:b dur:2 cpbdur:2 q:36.62 aq:26.00 tex:4 mv:130 misc:362 imb:0 pmb:17 smb:4393 d:- ref:0 ;
in:108 out:105 type:P dur:2 cpbdur:2 q:36.62 aq:31.38 tex:1995 mv:1365 misc:816 imb:34 pmb:124 smb:4252 d:t ref:0 ;
in:106 out:106 type:B dur:2 cpbdur:2 q:36.70 aq:34.19 tex:107 mv:381 misc:480 imb:0 pmb:47 smb:4363 d:t ref:0 ;
in:105 out:107 type:b dur:2 cpbdur:2 q:36.74 aq:26.00 tex:8 mv:141 misc:363 imb:1 pmb:25 smb:4384 d:s ref:0 ;
in:107 out:108 type:b dur:2 cpbdur:2 q:36.66 aq:26.00 tex:9 mv:151 misc:360 imb:1 pmb:17 smb:4392 d:- ref:0 ;
in:112 out:109 type:P dur:2 cpbdur:2 q:35.88 aq:29.79 tex:3727 mv:1389 misc:852 imb:45 pmb:125 smb:4240 d:t ref:0 ;
in:110 out:110 type:B dur:2 cpbdur:2 q:36.25 aq:31.01 tex:126 mv:227 misc:463 imb:0 pmb:39 smb:4371 d:t ref:0 ;
in:109 out:111 type:b dur:2 cpbdur:2 q:36.44 aq:33.13 tex:71 mv:148 misc:381 imb:0 pmb:24 smb:4386 d:s ref:0 ;
in:111 out:112 type:b dur:2 cpbdur:2 q:36.07 aq:31.99 tex:50 mv:113 misc:349 imb:0 pmb:18 smb:4392 d:- ref:0 ;
in:116 out:113 type:P dur:2 cpbdur:2 q:35.03 aq:30.38 tex:3120 mv:1283 misc:821 imb:33 pmb:116 smb:4261 d:t ref:0 ;
in:114 out:114 type:B dur:2 cpbdur:2 q:35.45 aq:23.00 tex:30 mv:135 misc:427 imb:0 pmb:31 smb:4379 d:t ref:0 ;
in:113 out:115 type:b dur:2 cpbdur:2 q:35.67 aq:35.03 tex:76 mv:179 misc:393 imb:1 pmb:24 smb:4385 d:s ref:0 ;
in:115 out:116 type:b dur:2 cpbdur:2 q:35.24 aq:28.68 tex:52 mv:279 misc:453 imb:0 pmb:43 smb:4367 d:- ref:0 ;
in:120 out:117 type:P dur:2 cpbdur:2 q:34.23 aq:23.43 tex:81103 mv:7161 misc:664 imb:3023 pmb:153 smb:1234 d:t ref:0 ;
in:118 out:118 type:B dur:2 cpbdur:2 q:34.63 aq:24.18 tex:1976 mv:8082 misc:646 imb:367 pmb:2768 smb:1275 d:s ref:0 ;
in:117 out:119 type:b dur:2 cpbdur:2 q:34.83 aq:24.00 tex:4 mv:40 misc:308 imb:0 pmb:7 smb:4403 d:t ref:0 ;
in:119 out:120 type:b dur:2 cpbdur:2 q:34.43 aq:32.34 tex:403 mv:626 misc:1035 imb:4 pmb:265 smb:4141 d:- ref:0 ;
in:121 out:121 type:P dur:2 cpbdur:2 q:34.40 aq:28.91 tex:29635 mv:3973 misc:840 imb:341 pmb:332 smb:3737 d:t ref:0 ;
in:122 out:122 type:P dur:2 cpbdur:2 q:34.47 aq:22.56 tex:10380 mv:4560 misc:1580 imb:501 pmb:654 smb:3255 d:t ref:0 w:6,63,1,6,63,2,64,0 ;
in:124 out:123 type:P dur:2 cpbdur:2 q:34.47 aq:20.41 tex:52150 mv:9784 misc:938 imb:3740 pmb:130 smb:540 d:t ref:0 ;
in:123 out:124 type:b dur:2 cpbdur:2 q:34.47 aq:20.70 tex:14392 mv:13821 misc:1307 imb:926 pmb:2592 smb:892 d:s ref:0 ;
in:127 out:125 type:P dur:2 cpbdur:2 q:34.54 aq:20.91 tex:39734 mv:9113 misc:1937 imb:1979 pmb:482 smb:1949 d:t ref:0 ;
in:125 out:126 type:B dur:2 cpbdur:2 q:34.49 aq:22.27 tex:25107 mv:10225 misc:1524 imb:487 pmb:1947 smb:1976 d:s ref:0 ;
in:126 out:127 type:b dur:2 cpbdur:2 q:34.52 aq:23.81 tex:5144 mv:1171 misc:1285 imb:41 pmb:518 smb:3851 d:- ref:0 ;
in:131 out:128 type:P dur:2 cpbdur:2 q:34.62 aq:22.52 tex:22208 mv:6410 misc:1454 imb:1639 pmb:172 smb:2599 d:t ref:0 ;
in:129 out:129 type:B dur:2 cpbdur:2 q:34.58 aq:21.60 tex:13777 mv:11264 misc:1975 imb:726 pmb:1345 smb:2339 d:s ref:0 ;
in:128 out:130 type:b dur:2 cpbdur:2 q:34.56 aq:22.07 tex:6607 mv:9250 misc:1911 imb:394 pmb:1424 smb:2592 d:s ref:0 ;
in:130 out:131 type:b dur:2 cpbdur:2 q:34.60 aq:23.42 tex:2713 mv:3069 misc:1682 imb:107 pmb:753 smb:3550 d:- ref:0 ;
in:132 out:132 type:P dur:2 cpbdur:2 q:34.41 aq:24.11 tex:20221 mv:6646 misc:1461 imb:915 pmb:325 smb:3170 d:t ref:0 ;
in:133 out:133 type:P dur:2 cpbdur:2 q:35.38 aq:23.09 tex:16660 mv:7015 misc:1437 imb:960 pmb:335 smb:3115 d:s ref:0 ;
in:134 out:134 type:P dur:2 cpbdur:2 q:35.48 aq:22.51 tex:18401 mv:7392 misc:1535 imb:885 pmb:409 smb:3116 d:s ref:0 ;
in:136 out:135 type:P dur:2 cpbdur:2 q:35.64 aq:24.07 tex:34309 mv:7964 misc:1279 imb:1066 pmb:341 smb:3003 d:s ref:0 ;
in:135 out:136 type:b dur:2 cpbdur:2 q:35.56 aq:29.08 tex:2818 mv:4240 misc:1486 imb:192 pmb:298 smb:3920 d:s ref:0 ;
in:139 out:137 type:P dur:2 cpbdur:2 q:35.96 aq:24.84 tex:66079 mv:13414 misc:1603 imb:2480 pmb:401 smb:1529 d:s ref:0 ;
in:137 out:138 type:B dur:2 cpbdur:2 q:35.75 aq:34.43 tex:3610 mv:3572 misc:1698 imb:90 pmb:557 smb:3763 d:s ref:0 ;
in:138 out:139 type:b dur:2 cpbdur:2 q:35.86 aq:27.26 tex:1150 mv:3225 misc:1521 imb:96 pmb:390 smb:3924 d:- ref:0 ;
in:142 out:140 type:P dur:2 cpbdur:2 q:37.35 aq:27.43 tex:4311 mv:2554 misc:1407 imb:146 pmb:255 smb:4009 d:s ref:0 ;
in:140 out:141 type:B dur:2 cpbdur:2 q:36.43 aq:31.10 tex:855 mv:2121 misc:1024 imb:35 pmb:212 smb:4163 d:s ref:0 ;
in:141 out:142 type:b dur:2 cpbdur:2 q:36.89 aq:25.57 tex:312 mv:1661 misc:963 imb:24 pmb:207 smb:4179 d:- ref:0 ;
in:143 out:143 type:I dur:2 cpbdur:2 q:32.83 aq:20.53 tex:209578 mv:36425 misc:525 imb:4410 pmb:0 smb:0 d:s ref:;
in:144 out:144 type:P dur:2 cpbdur:2 q:40.92 aq:29.55 tex:1354 mv:2548 misc:1602 imb:93 pmb:374 smb:3943 d:s ref:0 ;
in:145 out:145 type:P dur:2 cpbdur:2 q:41.11 aq:21.22 tex:11156 mv:4759 misc:1717 imb:511 pmb:365 smb:3534 d:s ref:0 ;
in:147 out:146 type:P dur:2 cpbdur:2 q:41.25 aq:28.99 tex:3565 mv:3655 misc:2020 imb:180 pmb:417 smb:3813 d:s ref:0 ;
in:146 out:147 type:b dur:2 cpbdur:2 q:41.18 aq:26.00 tex:40 mv:434 misc:534 imb:13 pmb:54 smb:4343 d:t ref:0 ;
in:149 out:148 type:P dur:2 cpbdur:2 q:41.37 aq:30.42 tex:18606 mv:6024 misc:1282 imb:1137 pmb:290 smb:2983 d:s ref:0 ;
in:148 out:149 type:b dur:2 cpbdur:2 q:41.31 aq:28.57 tex:174 mv:110 misc:308 imb:2 pmb:6 smb:4402 d:s ref:0 ;
in:152 out:150 type:P dur:2 cpbdur:2 q:41.52 aq:30.52 tex:32031 mv:9217 misc:2032 imb:1155 pmb:642 smb:2613 d:s ref:0 ;
in:150 out:151 type:B dur:2 cpbdur:2 q:41.42 aq:35.12 tex:169 mv:1255 misc:1640 imb:13 pmb:461 smb:3936 d:s ref:0 ;
in:151 out:152 type:b dur:2 cpbdur:2 q:41.47 aq:31.96 tex:288 mv:672 misc:544 imb:47 pmb:53 smb:4310 d:- ref:0 ;
