#options: 720x1566 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=16 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=220 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:134 out:133 type:P dur:2 cpbdur:2 q:40.14 aq:30.59 tex:10470 mv:2779 misc:2215 imb:86 pmb:416 smb:3908 d:s ref:0 ;
in:133 out:134 type:b dur:2 cpbdur:2 q:40.43 aq:32.84 tex:65 mv:83 misc:332 imb:2 pmb:10 smb:4398 d:t ref:0 ;
in:138 out:135 type:P dur:2 cpbdur:2 q:39.98 aq:31.96 tex:9058 mv:3106 misc:2100 imb:137 pmb:356 smb:3917 d:s ref:0 ;
in:136 out:136 type:B dur:2 cpbdur:2 q:40.06 aq:33.49 tex:452 mv:320 misc:604 imb:1 pmb:59 smb:4350 d:t ref:0 ;
in:135 out:137 type:b dur:2 cpbdur:2 q:40.10 aq:28.14 tex:35 mv:18 misc:275 imb:0 pmb:3 smb:4407 d:s ref:0 ;
in:137 out:138 type:b dur:2 cpbdur:2 q:40.02 aq:26.66 tex:42 mv:35 misc:291 imb:0 pmb:5 smb:4405 d:- ref:0 ;
in:142 out:139 type:P dur:2 cpbdur:2 q:39.57 aq:30.98 tex:17291 mv:3493 misc:2696 imb:111 pmb:548 smb:3751 d:s ref:0 ;
in:140 out:140 type:B dur:2 cpbdur:2 q:39.78 aq:30.33 tex:238 mv:519 misc:699 imb:1 pmb:73 smb:4336 d:t ref:0 ;
in:139 out:141 type:b dur:2 cpbdur:2 q:39.88 aq:25.00 tex:11 mv:12 misc:273 imb:0 pmb:3 smb:4407 d:s ref:0 ;
in:141 out:142 type:b dur:2 cpbdur:2 q:39.67 aq:25.00 tex:1 mv:15 misc:272 imb:0 pmb:3 smb:4407 d:- ref:0 ;
in:144 out:143 type:P dur:2 cpbdur:2 q:39.23 aq:29.83 tex:17550 mv:3126 misc:2836 imb:76 pmb:634 smb:3700 d:s ref:0 ;
in:143 out:144 type:b dur:2 cpbdur:2 q:39.40 aq:33.30 tex:46 mv:58 misc:312 imb:1 pmb:7 smb:4402 d:t ref:0 ;
in:146 out:145 type:P dur:2 cpbdur:2 q:39.20 aq:29.99 tex:11023 mv:2209 misc:2288 imb:62 pmb:440 smb:3908 d:s ref:0 ;
in:145 out:146 type:b dur:2 cpbdur:2 q:39.22 aq:24.00 tex:9 mv:4 misc:259 imb:0 pmb:1 smb:4409 d:s ref:0 ;
in:150 out:147 type:P dur:2 cpbdur:2 q:39.08 aq:29.80 tex:11384 mv:3165 misc:2275 imb:108 pmb:414 smb:3888 d:s ref:0 ;
in:148 out:148 type:B dur:2 cpbdur:2 q:39.14 aq:31.26 tex:411 mv:792 misc:949 imb:6 pmb:115 smb:4289 d:t ref:0 ;
in:147 out:149 type:b dur:2 cpbdur:2 q:39.17 aq:26.63 tex:71 mv:86 misc:347 imb:3 pmb:11 smb:4396 d:s ref:0 ;
in:149 out:150 type:b dur:2 cpbdur:2 q:39.11 aq:35.51 tex:148 mv:111 misc:373 imb:2 pmb:15 smb:4393 d:- ref:0 ;
in:154 out:151 type:P dur:2 cpbdur:2 q:39.03 aq:30.65 tex:9565 mv:3209 misc:2066 imb:126 pmb:357 smb:3927 d:s ref:0 ;
in:152 out:152 type:B dur:2 cpbdur:2 q:39.05 aq:32.30 tex:403 mv:1170 misc:1163 imb:5 pmb:171 smb:4234 d:t ref:0 ;
